Rank,City,State,Round,ABD,Amount INR CR,Final Category,Sub-Category,Project Name,IT/ITES
1,Bhubaneswar,Odisha,I,ABD,4,Governance,Communication,Ciitizen's Connect Initiative,Maybe
1,Bhubaneswar,Odisha,I,ABD,1.5,Governance,Communication,I Support My City - Volunteer program,Maybe
1,Bhubaneswar,Odisha,I,ABD,2.5,Governance,Command Centre,Town Centre Online - Online Services and Dashboard,Yes
1,Bhubaneswar,Odisha,I,ABD,9.25,Governance,Communication,One Map - Data Visualisation through Thematic Mapping,Yes
1,Bhubaneswar,Odisha,I,ABD,8.5,Governance,Communication,Project Bhubaneswar Urban Knowledge Centre,Maybe
1,Bhubaneswar,Odisha,I,ABD,245,Transport,Multi Modal Hub,Railway Station Multi Modal Hub - Phase 1,No
1,Bhubaneswar,Odisha,I,ABD,600,Transport,Multi Modal Hub,Railway Station Multi Modal Hub - Phase 2,No
1,Bhubaneswar,Odisha,I,ABD,60,Transport,Parking,Raj Mahal Square Multi Level Car Parking,No
1,Bhubaneswar,Odisha,I,ABD,0,Transport,Multi Modal Hub,Satya Nagar Institutional Core,No
1,Bhubaneswar,Odisha,I,ABD,60,Transport,Parking,Satya Nagar Multi Level Car Parking,No
1,Bhubaneswar,Odisha,I,ABD,44,Energy & Ecology,Ecology Water Body,Lake Neutral,No
1,Bhubaneswar,Odisha,I,ABD,72.5,Transport,Roads,Janpath - People's Smart Path,Yes
1,Bhubaneswar,Odisha,I,ABD,171.5,Transport,Roads,Project URBS - Urban Regeneration through Bhubaneswar Streets,Maybe
1,Bhubaneswar,Odisha,I,ABD,16,Transport,NMT,BBSR Cycle Highway,No
1,Bhubaneswar,Odisha,I,ABD,9.5,Transport,NMT,Public Bicycle Sharing Scheme,No
1,Bhubaneswar,Odisha,I,ABD,10.5,Transport,Para Transit,E-Rickshaw Project,No
1,Bhubaneswar,Odisha,I,ABD,1260,Housing,Township,Janpath Government Housing Redevelopment,No
1,Bhubaneswar,Odisha,I,ABD,840,Housing,Slum Redevelopment,Mission Abaas- Slum Redevelopment Projects- Bapuji Nagar Kharavela Nagar Shanti Nagar Saheed Nagar Abaas Yojna,No
1,Bhubaneswar,Odisha,I,ABD,12,Housing,Rental Housing,Rental Housing for Construction Workers,No
1,Bhubaneswar,Odisha,I,ABD,15.75,Housing,Resident Services,Project Kutumb- One stop Social Equity Centres,Maybe
1,Bhubaneswar,Odisha,I,ABD,9.4,Culture & Heritage,Museum,Museum of Urban History,No
1,Bhubaneswar,Odisha,I,ABD,12,Culture & Heritage,Identity,I am BBSR Initiative,Maybe
1,Bhubaneswar,Odisha,I,ABD,0.5,Governance,Security Surveillance,Neighbourhood Watch,Maybe
1,Bhubaneswar,Odisha,I,ABD,0.8,Governance,Security Senior Citizen,Senior Citizen Direct Contact Program,No
1,Bhubaneswar,Odisha,I,ABD,0,Governance,Security Women,Safe Refuge Points for Women's Safety (Integrated with Pan City Solution),No
